CAPOTEIRO(A) INDEPENDENTE ;4520-0/08
CARPINTEIRO(A) INDEPENDENTE ;1622-6/99
CARPINTEIRO(A) INSTALADOR(A) INDEPENDENTE ;4330-4/02
CARREGADOR (VEÍCULOS INDEPENDENTE DE TRANSPORTES TERRESTRES) ;5212-5/00
CARREGADOR DE MALAS INDEPENDENTE ;9609-2/99
CARROCEIRO COLETA DE ENTULHOS E RESÍDUOS INDEPENDENTE;3811-4/00
CARROCEIRO - TRANSPORTE DE CARGA INDEPENDENTE ;4930-2/01
CARROCEIRO - TRANSPORTE DE MUDANÇA INDEPENDENTE ;4930-2/04
CARTAZISTA, PINTOR DE INDEPENDENTE FAIXAS PUBLICITÁRIAS E DE LETRAS ;8299-7/99
CERQUEIRO(A) INDEPENDENTE ;4399-1/99
CHAPELEIRO(A) INDEPENDENTE ;1414-2/00
CHAVEIRO(A) INDEPENDENTE ;9529-1/02
CHOCOLATEIRO(A) INDEPENDENTE ;1093-7/01
CHURRASQUEIRO(A) AMBULANTE INDEPENDENTE ;5612-1/00
CHURRASQUEIRO(A) EM DOMICÍLIO INDEPENDENTE ;5620-1/02
CLICHERISTA INDEPENDENTE ;1821-1/00
COBRADOR(A) DE DÍVIDAS INDEPENDENTE ;8291-1/00
COLCHOEIRO(A) INDEPENDENTE ;3104-7/00
COLETOR DE RESÍDUOS NÃO-PERIGOSOS INDEPENDENTE ;3811-4/00
COLOCADOR(A) DE PIERCING INDEPENDENTE ;9609-2/06
COLOCADOR(A) DE REVESTIMENTOS INDEPENDENTE ;4330-4/05
COMERCIANTE DE INSETICIDAS E RATICIDAS INDEPENDENTE ;4789-0/05
COMERCIANTE DE PRODUTOS PARA PISCINAS INDEPENDENTE 4789-0/05;4789-0/05
COMERCIANTE DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMAÇÃO (PET SHOP) INDEPENDENTE (NÃO INCLUI A VENDA DE MEDICAMENTOS) ;4789-0/04
COMERCIANTE DE ARTIGOS DE ARMARINHO INDEPENDENTE ;4755-5/02
COMERCIANTE DE ARTIGOS DE BEBÊ INDEPENDENTE ;4789-0/99
COMERCIANTE DE ARTIGOS DE CAÇA, PESCA E CAMPING INDEPENDENTE ;4763-6/04
COMERCIANTE DE ARTIGOS DE CAMA, MESA E BANHO INDEPENDENTE ;4755-5/03
COMERCIANTE DE ARTIGOS DE COLCHOARIA INDEPENDENTE ;4754-7/02
COMERCIANTE DE ARTIGOS DE CUTELARIA INDEPENDENTE ;4754-7/02
COMERCIANTE DE ARTIGOS DE ILUMINAÇÃO INDEPENDENTE ;4754-7/03
COMERCIANTE DE ARTIGOS DE JOALHERIA INDEPENDENTE ;4783-1/01
COMERCIANTE DE ARTIGOS DE ÓPTICA INDEPENDENTE ;4774-1/00
COMERCIANTE DE ARTIGOS DE RELOJOARIA INDEPENDENTE ;4783-1/02
COMERCIANTE DE ARTIGOS DE TAPEÇARIA, CORTINAS E PERSIANAS INDEPENDENTE ;4759-8/01
COMERCIANTE DE ARTIGOS DE VIAGEM INDEPENDENTE ;4782-2/02
COMERCIANTE DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS INDEPENDENTE ;4781-4/00
COMERCIANTE DE ARTIGOS ERÓTICOS INDEPENDENTE ;4789-0/99
COMERCIANTE DE ARTIGOS ESPORTIVOS INDEPENDENTE ;4763-6/02
COMERCIANTE DE ARTIGOS FOTOGRÁFICOS E PARA FILMAGEM INDEPENDENTE;4789-0/08
COMERCIANTE DE ARTIGOS FUNERÁRIOS INDEPENDENTE ;4789-0/99
COMERCIANTE DE ARTIGOS MÉDICOS E ORTOPÉDICOS INDEPENDENTE ;4773-3/00
COMERCIANTE DE ARTIGOS PARA HABITAÇÃO INDEPENDENTE ;4759-8/99
COMERCIANTE DE ARTIGOS USADOS INDEPENDENTE ;4785-7/99
COMERCIANTE DE BEBIDAS INDEPENDENTE ;4723-7/00
"COMERCIANTE DE BICICLETAS E TRICICLOS; PEÇAS E ACESSÓRIOS INDEPENDENTE ";4763-6/03
COMERCIANTE DE SUVENIRES, BIJUTERIAS E ARTESANATOS INDEPENDENTE ;4789-0/01
COMERCIANTE DE BRINQUEDOS E ARTIGOS RECREATIVOS INDEPENDENTE;4763-6/01
COMERCIANTE DE CAL, AREIA, PEDRA BRITADA, TIJOLOS E TELHAS INDEPENDENTE;4744-0/04
COMERCIANTE DE CALÇADOS INDEPENDENTE ;4782-2/01
COMERCIANTE DE CARVÃO E LENHA INDEPENDENTE ;4789-0/99
COMERCIANTE DE CESTAS DE CAFÉ DA MANHÃ INDEPENDENTE ;4729-6/99
COMERCIANTE DE COSMÉTICOS E ARTIGOS DE PERFUMARIA INDEPENDENTE ;4772-5/00
COMERCIANTE DE DISCOS, CDS, DVDS E FITAS INDEPENDENTE ;4762-8/00
COMERCIANTE DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO INDEPENDENTE ;4753-9/00
COMERCIANTE DE EMBALAGENS INDEPENDENTE ;4789-0/99
COMERCIANTE DE EQUIPAMENTOS DE TELEFONIA E COMUNICAÇÃO INDEPENDENTE;4752-1/00
COMERCIANTE DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA INDEPENDENTE;4751-2/01
COMERCIANTE DE EQUIPAMENTOS PARA ESCRITÓRIO INDEPENDENTE;4789-0/07
COMERCIANTE DE FERRAGENS E FERRAMENTAS INDEPENDENTE;4744-0/01
COMERCIANTE DE FLORES, PLANTAS E FRUTAS ARTIFICIAIS INDEPENDENTE ;4789-0/99
COMERCIANTE DE INSTRUMENTOS MUSICAIS E ACESSÓRIOS INDEPENDENTE;4756-3/00
COMERCIANTE DE LATICÍNIOS INDEPENDENTE ;4721-1/03
COMERCIANTE DE LUBRIFICANTES INDEPENDENTE ;4732-6/00
COMERCIANTE DE MADEIRA E ARTEFATOS INDEPENDENTE ;4744-0/02
COMERCIANTE DE MATERIAIS DE CONSTRUÇÃO EM GERAL INDEPENDENTE ; 4744-0/99
COMERCIANTE DE MATERIAIS HIDRÁULICOS INDEPENDENTE;4744-0/03
COMERCIANTE DE MATERIAL ELÉTRICO INDEPENDENTE ;4742-3/00
COMERCIANTE DE MIUDEZAS E QUINQUILHARIAS INDEPENDENTE;4713-0/02
COMERCIANTE DE MOLDURAS E QUADROS INDEPENDENTE ;4789-0/99
COMERCIANTE DE MÓVEIS INDEPENDENTE ;4754-7/01
COMERCIANTE DE OBJETOS DE ARTE INDEPENDENTE ;4789-0/03
COMERCIANTE DE PEÇAS E ACESSÓRIOS NOVOS PARA MOTOCICLETAS E MOTONONETAS INDEPENDENTE;4541-2/06
COMERCIANTE DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES INDEPENDENTE ;4530-7/03
COMERCIANTE DE PEÇAS E ACESSÓRIOS PARA APARELHOS ELETROELETRÔNICOS PARA USO DOMÉSTICO INDEPENDENTE;4757-1/00
COMERCIANTE DE PEÇAS E ACESSÓRIOS USADOS PARA MOTOCICLETAS E MOTONONETAS INDEPENDENTE ;4541-2/07
COMERCIANTE DE PEÇAS E ACESSÓRIOS USADOS PARA VEÍCULOS AUTOMOTORES INDEPENDENTE ;4530-7/04
COMERCIANTE DE PERUCAS INDEPENDENTE ;4789-0/99
COMERCIANTE DE PLANTAS, FLORES NATURAIS, VASOS E ADUBOS INDEPENDENTE;4789-0/02
COMERCIANTE DE PNEUMÁTICOS E CÂMARAS-DE-AR INDEPENDENTE;4530-7/05
COMERCIANTE DE PRODUTOS DE HIGIENE PESSOAL INDEPENDENTE ;4772-5/00
COMERCIANTE DE PRODUTOS DE LIMPEZA INDEPENDENTE ;4789-0/05
COMERCIANTE DE PRODUTOS DE PANIFICAÇÃO INDEPENDENTE;4721-1/02
COMERCIANTE DE PRODUTOS DE TABACARIA INDEPENDENTE ;4729-6/01
COMERCIANTE DE PRODUTOS NATURAIS INDEPENDENTE ;4729-6/99
COMERCIANTE DE PRODUTOS PARA FESTAS E NATAL INDEPENDENTE;4789-0/99
COMERCIANTE DE PRODUTOS RELIGIOSOS INDEPENDENTE ;4789-0/99
COMERCIANTE DE REDES PARA DORMIR INDEPENDENTE ;4789-0/99
COMERCIANTE DE SISTEMA DE SEGURANÇA RESIDENCIAL INDEPENDENTE;4759-8/99
COMERCIANTE DE TECIDOS INDEPENDENTE;4755-5/01
COMERCIANTE DE TINTAS E MATERIAIS PARA PINTURA INDEPENDENTE ;4741-5/00
COMERCIANTE DE TOLDOS E PAPEL DE PAREDE INDEPENDENTE;4759-8/99
COMERCIANTE DE VIDROS INDEPENDENTE ;4743-1/00
COMPOTEIRO(A) INDEPENDENTE ;1031-7/00
CONFECCIONADOR(A) DE CARIMBOS INDEPENDENTE ;3299-0/02
CONFEITEIRO(A) INDEPENDENTE;1091-1/02
COSTUREIRO(A) DE ROUPAS, EXCETO SOB MEDIDA INDEPENDENTE;1412-6/01
COSTUREIRO(A) DE ROUPAS, SOB MEDIDA INDEPENDENTE;1412-6/02
COZINHEIRO(A) QUE FORNECE REFEIÇÕES PRONTAS E EMBALADAS PARA CONSUMO INDEPENDENTE ;5620-1/04
CRIADOR(A) DE ANIMAIS DOMÉSTICOS INDEPENDENTE ;0159-8/02
CRIADOR(A) DE PEIXES ORNAMENTAIS EM ÁGUA DOCE INDEPENDENTE ;0322-1/04
CRIADOR(A) DE PEIXES ORNAMENTAIS EM ÁGUA SALGADA INDEPENDENTE ;0321-3/04
CROCHETEIRO(A) INDEPENDENTE ;1422-3/00
CUIDADOR(A) DE ANIMAIS (PET SITTER) INDEPENDENTE ;9609-2/08
CUIDADOR(A) DE IDOSOS E ENFERMOS INDEPENDENTE ;8712-3/00
CUNHADOR(A) DE MOEDAS E MEDALHAS INDEPENDENTE ;3211-6/03
CURTIDOR DE COURO INDEPENDENTE ;1510-6/00
CUSTOMIZADOR(A) DE ROUPAS INDEPENDENTE ;1340-5/99
DEPILADOR(A) INDEPENDENTE ;602-5/02
DIARISTA INDEPENDENTE ;9700-5/00
DIGITADOR(A) INDEPENDENTE ;8219-9/99
DISC JOCKEY (DJ) OU VIDEO JOCKEY (VJ) INDEPENDENTE ;9001-9/06
DISTRIBUIDOR(A) DE ÁGUA POTÁVEL EM CAMINHÃO PIPA INDEPENDENTE ;3600-6/02
DOCEIRO(A) INDEPENDENTE ;5620-1/04
DUBLADOR(A) INDEPENDENTE ;5912-0/01
EDITOR(A) DE JORNAIS DIÁRIOS INDEPENDENTE ;5812-3/01
EDITOR(A) DE JORNAIS NÃO DIÁRIOS INDEPENDENTE ;5812-3/02
EDITOR(A) DE LISTA DE DADOS E DE OUTRAS INFORMAÇÕES INDEPENDENTE ;5819-1/00
EDITOR(A) DE LIVROS INDEPENDENTE ;5811-5/00
EDITOR(A) DE REVISTAS INDEPENDENTE;5813-1/00
EDITOR(A) DE VÍDEO INDEPENDENTE ;5912-0/99
ELETRICISTA DE AUTOMÓVEIS INDEPENDENTE;4520-0/03
ELETRICISTA EM RESIDÊNCIAS E ESTABELECIMENTOS COMERCIAIS INDEPENDENTE ;4321-5/00
ENCADERNADOR(A)/PLASTIFICADOR(A) INDEPENDENTE ;1822-9/01
ENCANADOR INDEPENDENTE ;4322-3/01
ENGRAXATE INDEPENDENTE ;9609-2/99
ENTREGADOR DE MALOTES INDEPENDENTE ;5320-2/01
ENVASADOR(A) E EMPACOTADOR(A) INDEPENDENTE ;8292-0/00
ESTAMPADOR(A) DE PEÇAS DO VESTUÁRIO INDEPENDENTE ;1340-5/01
ESTETICISTA DE ANIMAIS DOMÉSTICOS INDEPENDENTE ;9609-2/08
ESTETICISTA INDEPENDENTE ;9602-5/02
ESTOFADOR(A) INDEPENDENTE ;9529-1/05
FABRICANTE DE AÇÚCAR MASCAVO INDEPENDENTE ;1071-6/00
FABRICANTE DE AMENDOIM E CASTANHA DE CAJU TORRADOS E SALGADOS INDEPENDENTE ;1031-7/00
FABRICANTE DE ALIMENTOS PRONTOS CONGELADOS INDEPENDENTE ;1096-1/00
FABRICANTE DE AMIDO E FÉCULAS DE VEGETAIS INDEPENDENTE ;1065-1/01
FABRICANTE DE ARTEFATOS DE FUNILARIA INDEPENDENTE ;2532-2/01
FABRICANTE DE ARTEFATOS ESTAMPADOS DE METAL, SOB ENCOMENDA OU NÃO INDEPENDENTE ;2532-2/01
FABRICANTE DE ARTEFATOS PARA PESCA E ESPORTE INDEPENDENTE;3230-2/00
FABRICANTE DE ARTEFATOS TÊXTEIS PARA USO DOMÉSTICO INDEPENDENTE ;1351-1/00
FABRICANTE DE ARTIGOS DE CUTELARIA INDEPENDENTE ;2541-1/00
FABRICANTE DE AVIAMENTOS PARA COSTURA INDEPENDENTE;3299-0/05
FABRICANTE DE BALAS, CONFEITOS E FRUTAS CRISTALIZADAS INDEPENDENTE ;1093-7/02
FABRICANTE DE BOLSAS/BOLSEIRO INDEPENDENTE ;1521-1/00
FABRICANTE DE BRINQUEDOS NÃO ELETRÔNICOS INDEPENDENTE ;3240-0/99
FABRICANTE DE CALÇADOS DE BORRACHA, MADEIRA E TECIDOS E FIBRAS INDEPENDENTE;1539-4/00
FABRICANTE DE CALÇADOS DE COURO INDEPENDENTE ;1531-9/01
FABRICANTE DE CHÁ INDEPENDENTE ;1099-6/05
FABRICANTE DE CINTOS/CINTEIRO INDEPENDENTE ;1414-2/00
FABRICANTE DE CONSERVAS DE FRUTAS INDEPENDENTE ;1031-7/00
FABRICANTE DE CONSERVAS DE LEGUMES E OUTROS VEGETAIS INDEPENDENTE ;1032-5/99
FABRICANTE DE EMBALAGENS DE CARTOLINA E PAPEL-CARTÃO INDEPENDENTE ;1732-0/00
FABRICANTE DE EMBALAGENS DE MADEIRA INDEPENDENTE ;1623-4/00
FABRICANTE DE EMBALAGENS DE PAPEL INDEPENDENTE ;1731-1/00
FABRICANTE DE ESPECIARIAS INDEPENDENTE ;1095-3/00
FABRICANTE DE ESQUADRIAS METÁLICAS SOB ENCOMENDA OU NÃO INDEPENDENTE ;2512-8/00
FABRICANTE DE FIOS DE ALGODÃO INDEPENDENTE ;1311-1/00
FABRICANTE DE FIOS DE LINHO, RAMI, JUTA, SEDA E LÃ INDEPENDENTE ;1312-0/00
FABRICANTE DE FUMO E DERIVADOS DO FUMO INDEPENDENTE;1220-4/99
FABRICANTE DE GELÉIA DE MOCOTÓ INDEPENDENTE ;1099-6/99
FABRICANTE DE GELO COMUM INDEPENDENTE ;1099-6/04
FABRICANTE DE GUARDA-CHUVAS E SIMILARES INDEPENDENTE ;3299-0/01
FABRICANTE DE GUARDANAPOS E COPOS DE PAPEL INDEPENDENTE ;1742-7/99
FABRICANTE DE INSTRUMENTOS MUSICAIS INDEPENDENTE ;3220-5/00
FABRICANTE DE JOGOS RECREATIVOS INDEPENDENTE ;3240-0/99
FABRICANTE DE LATICÍNIOS INDEPENDENTE ;1052-0/00
FABRICANTE DE LETREIROS, PLACAS E PAINÉIS NÃO LUMINOSOS, SOB ENCOMENDA OU NÃO INDEPENDENTE;3299-0/03
FABRICANTE DE LUMINÁRIAS E OUTROS EQUIPAMENTOS DE ILUMINAÇÃO INDEPENDENTE;2740-6/02
FABRICANTE DE MALAS INDEPENDENTE ;1521-1/00
FABRICANTE DE MASSAS ALIMENTÍCIAS INDEPENDENTE;1094-5/00
FABRICANTE DE MEIAS INDEPENDENTE ;1421-5/00
FABRICANTE DE MOCHILAS E CARTEIRAS INDEPENDENTE ;1521-1/00
FABRICANTE DE PAINÉIS E LETREIROS LUMINOSOS INDEPENDENTE ;3299-0/04
FABRICANTE DE PÃO DE QUEIJO CONGELADO INDEPENDENTE ;1091-1/01
FABRICANTE DE PAPEL INDEPENDENTE ;1721-4/00
FABRICANTE DE PARTES DE PEÇAS DO VESTUÁRIO FACÇÃO INDEPENDENTE ;1412-6/03
FABRICANTE DE PARTES DE ROUPAS ÍNTIMAS FACÇÃO INDEPENDENTE ;1411-8/02
FABRICANTE DE PARTES DE ROUPAS PROFISSIONAIS FACÇÃO INDEPENDENTE ;1413-4/03
FABRICANTE DE PARTES PARA CALÇADOS INDEPENDENTE ;1540-8/00
FABRICANTE DE POLPAS DE FRUTAS INDEPENDENTE ;1031-7/00
FABRICANTE DE PRODUTOS DE SOJA INDEPENDENTE ;1099-6/99
FABRICANTE DE PRODUTOS DE TECIDO NÃO TECIDO PARA USO ODONTO-MÉDICO-HOSPITALAR INDEPENDENTE ;3292-2/02
FABRICANTE DE PRODUTOS DERIVADOS DE CARNE INDEPENDENTE ;1013-9/01
FABRICANTE DE PRODUTOS DERIVADOS DO ARROZ INDEPENDENTE;1061-9/02
FABRICANTE DE RAPADURA E MELAÇO INDEPENDENTE;1071-6/00
FABRICANTE DE REFRESCOS, XAROPES E PÓS PARA REFRESCOS INDEPENDENTE;1122-4/03
FABRICANTE DE ROUPAS ÍNTIMAS INDEPENDENTE ;1411-8/01
FABRICANTE DE SUCOS CONCENTRADOS DE FRUTAS, HORTALIÇAS E LEGUMES INDEPENDENTE ;1033-3/01
FABRICANTE DE SUCOS DE FRUTAS, HORTALIÇAS E LEGUMES INDEPENDENTE;1033-3/02
FABRICANTE DE VELAS, INCLUSIVE DECORATIVAS INDEPENDENTE;3299-0/06
FARINHEIRO DE MANDIOCA INDEPENDENTE;1063-5/00
FARINHEIRO DE MILHO INDEPENDENTE;1064-3/00
FERRAMENTEIRO(A) INDEPENDENTE ;2543-8/00
FERREIRO/FORJADOR INDEPENDENTE ;2543-8/00
FILMADOR(A) INDEPENDENTE ;7420-0/04
FORNECEDOR(A) DE ALIMENTOS PREPARADOS PARA EMPRESAS INDEPENDENTE;5620-1/01
FOSSEIRO (LIMPADOR DE FOSSA) INDEPENDENTE;3702-9/00
FOTOCOPIADOR(A) INDEPENDENTE ;8219-9/01
FOTÓGRAFO(A) INDEPENDENTE;7420-0/01
FOTÓGRAFO(A) AÉREO INDEPENDENTE ;7420-0/02
FOTÓGRAFO(A) SUBMARINO INDEPENDENTE ;7420-0/02
FUNILEIRO / LANTERNEIRO INDEPENDENTE ;4520-0/02
GALVANIZADOR(A) INDEPENDENTE ;2539-0/02
GESSEIRO(A) INDEPENDENTE ;4330-4/03
GRAVADOR(A) DE CARIMBOS INDEPENDENTE ;8299-7/03
GUARDADOR(A) DE MÓVEIS INDEPENDENTE ;5211-7/02
GUIA DE TURISMO INDEPENDENTE ;7912-1/00
GUINCHEIRO INDEPENDENTE (REBOQUE DE VEÍCULOS) ;5229-0/02
HUMORISTA E CONTADOR DE HISTÓRIAS INDEPENDENTE ;9001-9/01
INSTALADOR(A) DE ANTENAS DE TV INDEPENDENTE ;4321-5/00
INSTALADOR(A) DE EQUIPAMENTOS DE SEGURANÇA DOMICILIAR E EMPRESARIAL, SEM PRESTAÇÃO DE SERVIÇOS DE VIGILÂNCIA E SEGURANÇA INDEPENDENTE ;4321-5/00
INSTALADOR(A) DE EQUIPAMENTOS PARA ORIENTAÇÃO À NAVEGAÇÃO MARÍTIMA, FLUVIAL E LACUSTRE INDEPENDENTE ;4329-1/02
INSTALADOR(A) DE ISOLANTES ACÚSTICOS E DE VIBRAÇÃO INDEPENDENTE ;4329-1/05
INSTALADOR(A) DE ISOLANTES TÉRMICOS INDEPENDENTE;4329-1/05
INSTALADOR(A) DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS INDEPENDENTE ;3321-0/00
INSTALADOR(A) DE PAINÉIS PUBLICITÁRIOS INDEPENDENTE ;4329-1/01
INSTALADOR(A) DE REDE DE COMPUTADORES INDEPENDENTE ;6190-6/99
INSTALADOR(A) DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO INDEPENDENTE ;4322-3/03
INSTALADOR(A) E REPARADOR (A) DE ACESSÓRIOS AUTOMOTIVOS INDEPENDENTE ;4520-0/07
INSTALADOR(A) E REPARADOR(A) DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES INDEPENDENTE ;4329-1/03
INSTALADOR(A) E REPARADOR DE COFRES, TRANCAS E TRAVAS DE SEGURANÇA INDEPENDENTE ;8020-0/02
INSTALADOR(A) E REPARADOR(A) DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO INDEPENDENTE ;4322-3/02
INSTRUTOR(A) DE ARTE E CULTURA EM GERAL INDEPENDENTE ;8592-9/99
INSTRUTOR(A) DE ARTES CÊNICAS INDEPENDENTE ;8592-9/02
INSTRUTOR(A) DE CURSOS GERENCIAIS INDEPENDENTE ;8599-6/04
INSTRUTOR(A) DE CURSOS PREPARATÓRIOS INDEPENDENTE ;8599-6/05
INSTRUTOR(A) DE IDIOMAS INDEPENDENTE ;8593-7/00
INSTRUTOR(A) DE INFORMÁTICA INDEPENDENTE ;8599-6/03
INSTRUTOR(A) DE MÚSICA INDEPENDENTE ;8592-9/03
JARDINEIRO(A) INDEPENDENTE ;8130-3/00
JORNALEIRO(A) INDEPENDENTE ;4761-0/02
LAPIDADOR(A) INDEPENDENTE ;3211-6/01
LAVADEIRO(A) DE ROUPAS INDEPENDENTE ;9601-7/01
LAVADEIRO(A) DE ROUPAS PROFISSIONAIS INDEPENDENTE ;9601-7/03
LAVADOR(A) E POLIDOR DE CARRO INDEPENDENTE  ;4520-0/05
LAVADOR(A) DE ESTOFADO E SOFÁ INDEPENDENTE ;9609-2/99
LIVREIRO(A) INDEPENDENTE ;4761-0/01
LOCADOR DE ANDAIMES INDEPENDENTE ;7732-2/02
LOCADOR(A) DE APARELHOS DE JOGOS ELETRÔNICOS INDEPENDENTE ;7729-2/01
LOCADOR(A) DE BICICLETAS, INDEPENDENTE ;7721-7/00
LOCADOR(A) DE EQUIPAMENTOS CIENTÍFICOS, MÉDICOS E HOSPITALARES, SEM OPERADOR INDEPENDENTE;7739-0/02
LOCADOR(A) DE EQUIPAMENTOS RECREATIVOS E ESPORTIVOS INDEPENDENTE ;7721-7/00
LOCADOR(A) DE FITAS DE VÍDEO, DVDS E SIMILARES INDEPENDENTE ;7722-5/00
LOCADOR(A) DE LIVROS, REVISTAS, PLANTAS E FLORES INDEPENDENTE ;7729
LOCADOR(A) DE MÁQUINAS E EQUIPAMENTOS AGRÍCOLAS SEM OPERADOR INDEPENDENTE ;7731-4/00
LOCADOR(A) DE MÁQUINAS E EQUIPAMENTOS PARA CONSTRUÇÃO SEM OPERADOR, EXCETO ANDAIMES INDEPENDENTE ; 7732-2/01
LOCADOR(A) DE MÁQUINAS E EQUIPAMENTOS PARA ESCRITÓRIO INDEPENDENTE;7733-1/00
LOCADOR(A) DE MATERIAL E EQUIPAMENTO ESPORTIVO, INDEPENDENTE;7721-7/00
LOCADOR(A) DE MATERIAL MÉDICO INDEPENDENTE ;7729-2/03
LOCADOR(A) DE MOTOCICLETA, SEM CONDUTOR, INDEPENDENTE ;7719-5/99
LOCADOR(A) DE MÓVEIS E UTENSÍLIOS, INCLUSIVE PARA FESTAS INDEPENDENTE ;7729-2/02
LOCADOR(A) DE INSTRUMENTOS MUSICAIS INDEPENDENTE ;7729-2/02
LOCADOR(A) DE OBJETOS DO VESTUÁRIO, JÓIAS E ACESSÓRIOS INDEPENDENTE ;7723-3/00
LOCADOR(A) DE OUTRAS MÁQUINAS E EQUIPAMENTOS COMERCIAIS E INDUSTRIAIS NÃO ESPECIFICADOS ANTERIORMENTE, SEM OPERADOR INDEPENDENTE ;7739-0/99
LOCADOR(A) DE PALCOS, COBERTURAS E OUTRAS ESTRUTURAS DE USO TEMPORÁRIO, EXCETO ANDAIMES INDEPENDENTE;7739-0/03
LOCADOR(A) DE VÍDEO GAMES, INDEPENDENTE;7722-5/00
